Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m)
44,44,15/01/2022,60,4,6,0,9,4.75,30.38,30.12,GLADE South,OUT,N/A,small,16.0905,14.2895,14.0295,0.26,9,0.09
45,45,15/01/2022,20,0,0,6,6,3,34.76,33.68,GLADE South,OUT,N/A,small,16.0905,18.6695,17.5895,1.08,6,0.06
46,46,15/01/2022,60,34,24,3,24,21.25,91.68,58.82,GLADE South,OUT,N/A,small,16.0905,75.5895,42.7295,32.86,34,0.34
47,47,15/01/2022,40,33,24,24,22,25.75,68.48,69.85,GLADE South,,AE,small,16.0905,52.3895,53.7595,-1.37,33,0.33
48,48,15/01/2022,70,5,16,38,19,19.5,64.15,61.5,GLADE South,,AE,small,16.0905,48.0595,45.4095,2.65,38,0.38
49,49,15/01/2022,80,22,9,22,15,17,167.01,156.75,GLADE South,OUT,N/A,small,16.0905,150.9195,140.6595,10.26,22,0.22
50,50,15/01/2022,10,0,0,7,0,1.75,20.71,20.37,GLADE South,OUT,N/A,small,16.0905,4.6195,4.2795,0.34,7,0.07
51,51,15/01/2022,0,0,0,0,0,0,0,0,GLADE South,OUT,N/A,,0,0,0,0,0,0
52,52,15/01/2022,80,12,18,15,11,14,100.23,97.6,GLADE South,OUT,N/A,small,16.0905,84.1395,81.5095,2.63,18,0.18
53,53,15/01/2022,70,25,18,33,17,23.25,125.87,120.8,GLADE South,OUT,N/A,small,16.0905,109.7795,104.7095,5.07,33,0.33
54,54,15/01/2022,80,20,26,24,18,22,140.99,132.22,GLADE South,OUT,N/A,small,16.0905,124.8995,116.1295,8.77,26,0.26
55,55,15/01/2022,10,12,0,6,0,4.5,23.32,21.58,GLADE South,OUT,N/A,small,16.0905,7.2295,5.4895,1.74,12,0.12
56,56,15/01/2022,60,14,26,3,11,13.5,64.75,57.78,GLADE South,IN,AE,small,16.0905,48.6595,41.6895,6.97,26,0.26
57,57,15/01/2022,15,13,0,10,17,10,46.3,44.28,GLADE South,IN,AE,small,16.0905,30.2095,28.1895,2.02,17,0.17
58,58,15/01/2022,0,0,0,0,0,0,0,0,GLADE South,OUT,N/A,,0,0,0,0,0,0
59,59,15/01/2022,30,10,7,18,22,14.25,44.34,42.13,GLADE South,OUT,N/A,small,16.0905,28.2495,26.0395,2.21,22,0.22
