,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m),0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
10,Mpala01-10,10,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.6595744680851063,10.0,10.0,14/01/2022,100.0,60.0,59.0,37.0,29.0,46.25,511.3,502.4,KLEE,OUT,,big,32.334,478.966,470.066,8.9,60.0,0.6,0.0276491791009902,0.0861787721514701,0.188682273030281,0.255633071064949,0.2805905818939209,0.2809243202209472,0.1756464540958404,0.0877732783555984,1.0,0.0,0.25,0.8899193911135025,0.0483870967741935,1.0179493281856835,0.6956249475479126,0.0,0.25,0.0,0.0,0.6375135006617718,1.71735945388505,1.71735945388505,1.71735945388505,1.71735945388505,0.21466993173563126,0.24533706484072143,6.152873110377278
11,Mpala01-11,11,0.2857142857142857,0.2321428571428571,0.2857142857142857,0.2321428571428571,11.0,11.0,14/01/2022,30.0,5.0,0.0,15.0,4.0,6.0,32.86,32.65,KLEE,OUT,,small,16.0905,16.7695,16.5595,0.21,15.0,0.15,0.0211878400295972,0.0248748064041137,0.0339671671390533,0.0469888411462307,0.0514906887710094,0.0522834844887256,0.0356059968471527,0.0110381860285997,1.0,0.0,0.02,0.3825299747248631,0.032258064516129,0.5418526439168785,1.0,0.0,0.02,0.0,0.0,0.3020976643691707,0.6384227044492283,0.5283031500831735,0.6384227044492283,0.5283031500831735,0.07980283805615354,0.0754718785833105,2.8069599552645736
12,Mpala01-12,12,0.4453125,0.390625,0.4453125,0.390625,12.0,12.0,14/01/2022,100.0,33.0,17.0,18.0,21.0,22.25,211.21,202.53,KLEE,IN,AD,big,32.334,178.876,170.196,8.68,33.0,0.33,0.0238583348691463,0.0478311544284224,0.0729316435754299,0.0998908299952745,0.1553940817713737,0.1658940762281417,0.0780415683984756,0.0367121882736682,2.0,1.98,2.0,1.0261076140165504,0.0806451612903225,0.8828721405545725,1.0,0.495,1.01,0.99,1.02020202020202,0.4084203238723958,1.103122311105803,0.9906428744600508,1.103122311105803,0.9906428744600508,0.13789028888822538,0.14152041063715012,5.136950714100471
13,Mpala01-14,14,0.3684210526315789,0.2236842105263158,0.3684210526315789,0.2236842105263158,14.0,14.0,14/01/2022,25.0,4.0,0.0,0.0,14.0,4.5,49.55,48.62,KLEE,OUT,,small,16.0905,33.4595,32.5295,0.93,14.0,0.14,0.0206105839461088,0.0227224566042423,0.0273983273655176,0.0371794141829013,0.0414305892586708,0.0415864363312721,0.0295671187341213,0.0074539151974022,1.0,0.0,0.02,0.4814710960918268,0.032258064516129,0.5315315502943163,1.0,0.0,0.02,0.0,0.0,0.2974180739095742,0.8190839335426112,0.5063917927612233,0.8190839335426112,0.5063917927612233,0.1023854916928264,0.07234168468017475,3.482147369939836
14,Mpala01-15,15,0.15503048441735062,0.03307926490515553,0.1707317073170731,0.048780487804878,15.0,15.0,14/01/2022,10.0,2.0,0.0,0.0,0.0,0.5,23.04,22.74,KLEE,OUT,,small,16.0905,6.9495,6.6495,0.3,2.0,0.02,0.0200472474098205,0.0207050205208361,0.0213627936318516,0.0220205667428672,0.0226257180050015,0.0226783398538827,0.0213627927005291,0.0013155462220311,1.0,0.0,0.02,0.8818987689954639,0.0483870967741935,0.3083386903452212,1.0,0.0,0.02,0.0,0.0,0.1759687340278085,0.36012709764571826,0.10002084114932261,0.36012709764571826,0.10002084114932261,0.04501588720571478,0.014288691592760373,1.8945416638710808
15,Mpala01-16,16,0.6753246753246753,0.5844155844155844,0.6753246753246753,0.5844155844155844,16.0,16.0,14/01/2022,100.0,23.0,26.0,21.0,18.0,22.0,279.71,265.47,KLEE,IN,BA,big,32.334,247.376,233.136,14.24,26.0,0.26,0.0230000000447034,0.0385369285941123,0.0697459653019905,0.1069277599453926,0.1731194174289703,0.1886617839336395,0.0795855969190597,0.0457137040793895,1.0,0.0,0.25,1.3384884002580053,0.032258064516129,0.6788267084867274,0.8327710628509521,0.0,0.25,0.0,0.0,0.5128569868076547,1.9467593977165643,1.7561390381079145,1.9467593977165643,1.7561390381079145,0.24334492471457053,0.2508770054439878,5.451621974271498
16,Mpala01-17,17,0.3787878787878788,0.3636363636363636,0.3787878787878788,0.3636363636363636,17.0,17.0,14/01/2022,40.0,0.0,12.0,10.0,8.0,7.5,83.82,81.87,KLEE,OUT,,small,16.0905,67.7295,65.7795,1.95,12.0,0.12,0.0214812196791172,0.033247691579163,0.0519036762416362,0.0713227838277816,0.0934796819090843,0.1018389165401458,0.0532898418605327,0.0217861477285623,1.0,0.0,0.02,0.1963885779569916,0.032258064516129,0.6554817739013927,1.0,0.0,0.02,0.0,0.0,0.3766374453037798,0.934505191747691,0.9039702474861141,0.934505191747691,0.9039702474861141,0.11681314896846137,0.1291386067837306,4.186308239637465
17,Mpala01-18,18,0.53125,0.4375,0.53125,0.4375,18.0,18.0,14/01/2022,70.0,5.0,14.0,12.0,16.0,11.75,78.23,76.1,KLEE,IN,AD,small,16.0905,62.1395,60.0095,2.13,16.0,0.16,0.0202579870820045,0.030803695321083,0.0435694009065628,0.0509176738560199,0.0892522895336151,0.1058471649885177,0.0445645935833454,0.0191196519881486,2.0,2.73,2.75,1.0127755647439889,0.0806451612903225,1.38755376999654,0.9822632670402528,0.4963636363636363,1.385,1.365,1.0146520146520146,0.4071318281399446,1.3476084354336286,1.1507282898071236,1.3476084354336286,1.1507282898071236,0.16845105442920358,0.16438975568673195,4.0945028830220345
18,Mpala01-19,19,0.17622010834733473,0.044144636649221525,0.1886792452830188,0.0566037735849056,19.0,19.0,14/01/2022,20.0,0.0,4.0,0.0,5.0,2.25,36.33,35.35,KLEE,OUT,,small,16.0905,20.2395,19.2595,0.98,5.0,0.05,0.0201173387467861,0.0206126868724823,0.0211080349981784,0.0232499483972787,0.025220508724451,0.025391861796379,0.0222057458013296,0.0022889405954629,1.0,0.0,0.02,0.7876539404783632,0.032258064516129,0.217518571336808,1.0,0.0,0.02,0.0,0.0,0.1993743735846703,0.39983885037400513,0.11653781624795152,0.39983885037400513,0.11653781624795152,0.04997985629675064,0.016648259463993075,2.9580044454930197
19,Mpala01-20,20,0.45,0.425,0.45,0.425,20.0,20.0,14/01/2022,90.0,16.0,16.0,22.0,17.0,17.75,167.16,162.82,KLEE,OUT,,small,16.0905,151.0695,146.7295,4.34,22.0,0.22,0.0223932210355997,0.0462871231138706,0.0561665222048759,0.0737873911857605,0.0979984951019287,0.0999636054039001,0.0594314411282539,0.0211271345615386,1.0,0.0,0.02,0.2000728156931771,0.032258064516129,0.6818546087307835,1.0,0.0,0.02,0.0,0.0,0.4126173295707865,1.157406092338153,1.1067704763695734,1.157406092338153,1.1067704763695734,0.14467576154226913,0.1581100680527962,4.9885907555941325
