,KrugerLowerSabie2022-A1,KrugerLowerSabie2022-A2,KrugerLowerSabie2022-A3,KrugerLowerSabie2022-A4,KrugerLowerSabie2022-A5,KrugerLowerSabie2022-A6,KrugerLowerSabie2022-A7,KrugerLowerSabie2022-A9,KrugerLowerSabie2022-A8,KrugerLowerSabie2022-A10,KrugerLowerSabie2022-B6,KrugerLowerSabie2022-B5,KrugerLowerSabie2022-B4,KrugerLowerSabie2022-B2,KrugerLowerSabie2022-B3,KrugerLowerSabie2022-B1,KrugerLowerSabie2022-A11,KrugerLowerSabie2022-A12,KrugerLowerSabie2022-A13,KrugerLowerSabie2022-B9,KrugerLowerSabie2022-B10,KrugerLowerSabie2022-B11,KrugerLowerSabie2022-B12,KrugerLowerSabie2022-B13,KrugerLowerSabie2022-B14,KrugerLowerSabie2022-B16,KrugerLowerSabie2022-B17,KrugerLowerSabie2022-A14,KrugerLowerSabie2022-A15,KrugerLowerSabie2022-A16,KrugerLowerSabie2022-B18,KrugerLowerSabie2022-B19,KrugerLowerSabie2022-A18,KrugerLowerSabie2022-A17,KrugerLowerSabie2022-A19,KrugerLowerSabie2022-A20,KrugerLowerSabie2022-B20,KrugerLowerSabie2022-B22,KrugerLowerSabie2022-B23,KrugerLowerSabie2022-A22,KrugerLowerSabie2022-B25,KrugerLowerSabie2022-A23,KrugerLowerSabie2022-A24,KrugerLowerSabie2022-A25,KrugerLowerSabie2022-B26,KrugerLowerSabie2022-B27,KrugerLowerSabie2022-A26,KrugerLowerSabie2022-A27,KrugerLowerSabie2022-A28,KrugerLowerSabie2022-A30,KrugerLowerSabie2022-A29,KrugerLowerSabie2022-B30,KrugerLowerSabie2022-B28,KrugerLowerSabie2022-B8,KrugerLowerSabie2022-B7
0,0.020451102405786514,0.050519909709692,0.03976298123598099,0.024035772308707237,0.02578611858189106,0.020287688821554184,0.020128503441810608,0.019999999552965164,0.020229892805218697,0.02199999988079071,0.020519694313406944,0.021350979804992676,0.021453868597745895,0.02506929636001587,0.020566247403621674,0.020282559096813202,0.02199999988079071,0.0213390551507473,0.020781410858035088,0.025525519624352455,0.020076338201761246,0.06599999964237213,0.02199999988079071,0.020249981433153152,0.022601353004574776,0.019999999552965164,0.020200833678245544,0.02002270519733429,0.021176734939217567,0.029999999329447746,0.021072765812277794,0.020396795123815536,0.02058817446231842,0.02053755335509777,0.04143784940242767,0.02027558535337448,0.019999999552965164,0.02096070721745491,0.02174740843474865,0.020327327772974968,0.020256411284208298,0.07712087035179138,0.02376769483089447,0.020396916195750237,0.0208575576543808,0.02181972563266754,0.020377958193421364,0.020145485177636147,0.0205635204911232,0.032442543655633926,0.019999999552965164,0.021526768803596497,0.020024338737130165,0.020095422863960266,0.02572164312005043
25,0.037181224673986435,0.18815156072378159,0.24479395151138306,0.04780266899615526,0.16055719554424286,0.02690599299967289,0.026504963636398315,0.08023061417043209,0.04145207069814205,0.1394537128508091,0.0371028371155262,0.03726483788341284,0.04959452711045742,0.10910037904977798,0.04253640025854111,0.053278831765055656,0.17000000178813934,0.03537303302437067,0.03433658741414547,0.15161563828587532,0.03855220228433609,0.25442081689834595,0.06103515438735485,0.03197875991463661,0.06951688230037689,0.04622961767017841,0.042885979637503624,0.04068227019160986,0.036963374353945255,0.13605468720197678,0.10397547855973244,0.03922026976943016,0.028211441822350025,0.04086705669760704,0.1705460138618946,0.028038226068019867,0.048644086346030235,0.04831051081418991,0.0696367621421814,0.02627323940396309,0.11188133805990219,0.20292004197835922,0.19796589016914368,0.039067331701517105,0.04580623842775822,0.038139864802360535,0.033682940527796745,0.029245947487652302,0.197695754468441,0.18681873381137848,0.054060839116573334,0.05625742021948099,0.028946921229362488,0.040260219015181065,0.05939524620771408
50,0.04666804149746895,0.24450000375509262,0.3119122087955475,0.05387764237821102,0.23121458292007446,0.03693990409374237,0.03198134899139404,0.11474059149622917,0.06050652265548706,0.20500387996435165,0.04663371667265892,0.051084965467453,0.07755959406495094,0.1679999977350235,0.0674312524497509,0.07473394274711609,0.28999999165534973,0.04775036685168743,0.055652277544140816,0.2364761158823967,0.05703023448586464,0.3172798752784729,0.09840285778045654,0.04431401938199997,0.09754783660173416,0.07419916242361069,0.06181277707219124,0.057011183351278305,0.05852201581001282,0.1939798891544342,0.1488325446844101,0.054535359144210815,0.03356090560555458,0.06600400060415268,0.23090950399637222,0.034154243767261505,0.07275145500898361,0.08799999952316284,0.11101578176021576,0.03295161575078964,0.15936508029699326,0.25486093759536743,0.2510755956172943,0.05331339314579964,0.06650000065565109,0.04520735144615173,0.03871792182326317,0.03851126506924629,0.2623419165611267,0.261103093624115,0.09600000083446503,0.0765766054391861,0.03850794583559036,0.04776117391884327,0.08440551161766052
75,0.05804143846035004,0.30043259263038635,0.4057238698005676,0.06109444983303547,0.28761085867881775,0.048014746978878975,0.037586383521556854,0.14400989934802055,0.0867459774017334,0.26457277685403824,0.05580512620508671,0.06783735565841198,0.1487363949418068,0.2224569171667099,0.10792862810194492,0.11509425565600395,0.3409999907016754,0.06114476826041937,0.10163360647857189,0.3155410587787628,0.07793144881725311,0.375,0.13479094207286835,0.05793456546962261,0.12847132980823517,0.1012546680867672,0.08302614092826843,0.08829902857542038,0.09007937833666801,0.23992031440138817,0.20165852829813957,0.08423388749361038,0.038554850965738297,0.09954769723117352,0.29499998688697815,0.0438165795058012,0.1033945307135582,0.14100000262260437,0.1666194349527359,0.03951394557952881,0.23184382542967796,0.30600930750370026,0.34200000762939453,0.06758607178926468,0.09302988648414612,0.05964398384094238,0.043968272395431995,0.04780969023704529,0.31993816047906876,0.33434224128723145,0.23967888951301575,0.09656917117536068,0.05184110626578331,0.056158749386668205,0.12199782580137253
98,0.09821607857942581,0.39553999483585345,0.5005475401878354,0.07363222390413283,0.38483136892318726,0.08893007665872568,0.05249087959527966,0.2408619052171707,0.19827153056859964,0.3866381853818894,0.06928075999021531,0.09781381815671922,0.31126215994358064,0.3801999950408935,0.18276243954896929,0.17382982373237602,0.3974800050258634,0.08743801206350328,0.5796829164028168,0.46182407438755035,0.12905364215373993,0.45203390479087835,0.20403184294700624,0.07891937762498856,0.21845501661300668,0.16903442978858949,0.13788632333278655,0.1582355797290802,0.15548407703638076,0.3277239334583283,0.2989477664232254,0.2029999941587448,0.05119299381971359,0.17890892177820206,0.4750999879837037,0.0600200591981411,0.20082445204257965,0.5360053539276116,0.2736037099361419,0.06586566284298895,0.44396460175514224,0.4014029097557068,0.44454319000244136,0.1745740979909892,0.14324012637138367,0.09189581483602524,0.060307900980114945,0.07954266220331191,0.41225628554821014,0.4363579785823821,0.9467491364479065,0.16750355839729308,0.07655137330293656,0.06760172694921493,0.18577854037284852
100,0.1518157720565796,0.4320000112056732,0.5405061841011047,0.09116314351558685,0.4487961530685425,0.10314404964447021,0.05949153006076813,0.5424439311027527,0.5278559327125549,0.516739547252655,0.12516066431999207,0.12459124624729156,0.3474031388759613,0.4410000145435333,0.35199999809265137,0.20069223642349243,0.5490000247955322,0.1171426773071289,0.6414092779159546,0.6020500063896179,0.19893115758895874,0.5067395567893982,0.21967588365077972,0.09054022282361984,0.2530890107154846,0.2066139429807663,0.5242551565170288,0.19694678485393524,0.1934109479188919,0.5216403007507324,0.39298203587532043,0.5523996949195862,0.15271851420402527,0.31578123569488525,0.7826176285743713,0.12185028940439224,0.5109626650810242,0.7076569199562073,0.3059999942779541,0.07156944274902344,0.5694444179534912,0.4441951513290405,0.4740000069141388,0.5562405586242676,0.5253241062164307,0.6053133606910706,0.16758768260478973,0.11672928929328918,0.5332842469215393,0.47102442383766174,0.9996591806411743,0.6159999966621399,0.6202608942985535,0.07211201637983322,0.6486821174621582
mean,0.04902930185198784,0.24404631555080414,0.31256186962127686,0.053982850164175034,0.22399096190929413,0.039888620376586914,0.03283746913075447,0.11580352485179901,0.07326541841030121,0.2059858739376068,0.046349428594112396,0.0541292279958725,0.10667435079813004,0.17284215986728668,0.0795668289065361,0.08480039238929749,0.2605600655078888,0.0494220070540905,0.10946047306060791,0.2423248291015625,0.06220993027091026,0.3037741482257843,0.09924329817295074,0.04638269543647766,0.10365453362464905,0.07703210413455963,0.06787151843309402,0.06832876056432724,0.0668591558933258,0.1915106326341629,0.15348215401172638,0.07307551801204681,0.034848205745220184,0.07525709271430969,0.23988276720046997,0.037295013666152954,0.0813257098197937,0.11651105433702469,0.12098991870880127,0.034811753779649734,0.18107374012470245,0.25538429617881775,0.2659764587879181,0.06481947749853134,0.0735660269856453,0.057932183146476746,0.0395512729883194,0.04110248014330864,0.2575579881668091,0.2550619840621948,0.22541309893131256,0.08229588717222214,0.04507284611463547,0.047731559723615646,0.09514086693525314
std,0.018355388194322586,0.0811971053481102,0.11328683793544769,0.010333114303648472,0.08856121450662613,0.016308700665831566,0.008289702236652374,0.061207614839076996,0.06531643867492676,0.08771441131830215,0.013455221429467201,0.021398551762104034,0.07840575277805328,0.08139130473136902,0.04796355962753296,0.04120897874236107,0.09321503341197968,0.017923342064023018,0.13166208565235138,0.10523601621389389,0.0300596896559,0.09423685073852539,0.04912899062037468,0.01632966473698616,0.04874877259135246,0.03815409913659096,0.04308590292930603,0.036948125809431076,0.03753061965107918,0.07151584327220917,0.06666819006204605,0.055273912847042084,0.012525053694844246,0.044114191085100174,0.10129319131374359,0.013551224023103714,0.049997881054878235,0.11138516664505005,0.06536302715539932,0.010697835125029087,0.1001819521188736,0.07636871188879013,0.09355756640434265,0.06163058802485466,0.04825717210769653,0.07133157551288605,0.012003321200609207,0.01592807099223137,0.08736388385295868,0.09985499083995819,0.272460013628006,0.05577683448791504,0.0476171150803566,0.010699593462049961,0.05539526417851448
