,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,Letter,GPS #,Date Harvested,Site,% Cover,Height 1,Height 2,Height 3,Height 4,Dry Weight (g),Location,Tree Species,DPM,0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
11,KrugerLowerSabie2022-B5,B5,0.9056603773584906,0.7735849056603774,0.9056603773584906,0.7735849056603774,B5,B,5.0,Sep 26 2022,Lower Sabie west,80,15.0,10.0,10.0,15.0,46.66,No trees,,8.5,0.0213509798049926,0.0372648378834128,0.051084965467453,0.0678373556584119,0.0978138181567192,0.1245912462472915,0.0541292279958725,0.021398551762104,1.0,0.0,0.25,2.2925613432569985,0.032258064516129,0.5349082431307516,0.6535979509353638,0.0,0.25,0.0,0.0,0.639179796624757,3.2540715616542975,2.9707705275282437,3.2540715616542975,2.9707705275282437,0.4067589452067872,0.42439578964689195,3.8428872665932836
12,KrugerLowerSabie2022-B4,B4,0.9103448275862068,0.8551724137931035,0.9103448275862068,0.8551724137931035,B4,B,4.0,Sep 26 2022,Lower Sabie west,90,25.0,25.0,45.0,35.0,184.53,No trees,,16.5,0.0214538685977458,0.0495945271104574,0.0775595940649509,0.1487363949418068,0.3112621599435806,0.3474031388759613,0.10667435079813,0.0784057527780532,1.0,0.0,0.25,0.746342397696379,0.0483870967741935,0.6614102731164275,0.8148476481437683,0.0,0.25,0.0,0.0,0.7070248205554758,3.2932891973659215,3.179783564181023,3.2932891973659215,3.179783564181023,0.4116611496707402,0.45425479488300324,5.217812051888387
13,KrugerLowerSabie2022-B2,B2,0.9867549668874172,0.9867549668874172,0.9867549668874172,0.9867549668874172,B2,B,2.0,Sep 26 2022,Lower Sabie west,90,50.0,55.0,35.0,35.0,126.63,No trees,,12.5,0.0250692963600158,0.1091003790497779,0.1679999977350235,0.2224569171667099,0.3801999950408935,0.4410000145435333,0.1728421598672866,0.081391304731369,1.0,0.0,0.25,0.5990989670398396,0.0483870967741935,0.4834984572437725,0.6248685717582703,0.0,0.25,0.0,0.0,0.8476466896263248,4.063062014490232,4.063062014490232,4.063062014490232,4.063062014490232,0.507882751811279,0.5804374306414617,4.841269448462517
14,KrugerLowerSabie2022-B3,B3,0.9731800766283524,0.950191570881226,0.9731800766283524,0.950191570881226,B3,B,3.0,Sep 26 2022,Lower Sabie west,85,2.5,2.0,15.0,10.0,96.46,No trees,,8.0,0.0205662474036216,0.0425364002585411,0.0674312524497509,0.1079286281019449,0.1827624395489692,0.3519999980926513,0.0795668289065361,0.0479635596275329,1.0,0.0,0.25,1.0325761169037626,0.0483870967741935,0.2425196646120378,0.8246320486068726,0.0,0.25,0.0,0.0,0.7266673857116607,5.77483882801581,5.7283251036872755,5.77483882801581,5.7283251036872755,0.7218548535019762,0.8183321576696108,4.569128414640826
15,KrugerLowerSabie2022-B1,B1,0.934640522875817,0.8823529411764706,0.934640522875817,0.8823529411764706,B1,B,1.0,Sep 26 2022,Lower Sabie west,85,10.0,20.0,20.0,30.0,76.51,No trees,,7.0,0.0202825590968132,0.0532788317650556,0.074733942747116,0.1150942556560039,0.173829823732376,0.2006922364234924,0.0848003923892974,0.041208978742361,1.0,0.0,0.25,1.3185338306338843,0.032258064516129,0.362210557135449,0.661310076713562,0.0,0.25,0.0,0.0,0.6943663353935099,4.387540684936264,4.2801323269925415,4.387540684936264,4.2801323269925415,0.548442585617033,0.6114474752846488,4.3374214512437606
16,KrugerLowerSabie2022-A11,A11,1.0,0.9968354430379748,1.0,0.9968354430379748,A11,A,11.0,Sep 26 2022,Lower Sabie west,> 5,0.0,0.0,0.0,5.0,2.13,Bareground with burrow in between,,0.0,0.0219999998807907,0.1700000017881393,0.2899999916553497,0.3409999907016754,0.3974800050258634,0.5490000247955322,0.2605600655078888,0.0932150334119796,1.0,0.0,0.5,1.1170106056078426,0.064516129032258,0.726955845892947,0.472677618265152,0.0,0.5,0.0,0.0,1.020928744735174,2.7779099558117055,2.7715708062891475,2.7779099558117055,2.7715708062891475,0.3472387444764632,0.39593868661273535,0.7561219797213338
17,KrugerLowerSabie2022-A12,A12,0.905,0.82,0.905,0.82,A12,A,12.0,Sep 26 2022,Lower Sabie west,65,25.0,5.0,5.5,2.0,28.66,No trees,,7.0,0.0213390551507473,0.0353730330243706,0.0477503668516874,0.0611447682604193,0.0874380120635032,0.1171426773071289,0.0494220070540905,0.017923342064023,1.0,0.0,0.25,2.5142861923062987,0.032258064516129,0.4713934868100942,0.6367243528366089,0.0,0.25,0.0,0.0,0.6639763028101672,3.6072592835970845,3.429596856183853,3.6072592835970845,3.429596856183853,0.45090741044963556,0.4899424080262647,3.3555024224000256
18,KrugerLowerSabie2022-A13,A13,0.837002520715262,0.690935104984925,0.848314606741573,0.702247191011236,A13,A,13.0,Sep 26 2022,Lower Sabie west,40,30.0,10.0,15.0,15.0,28.06,Beneath A. nigrescens,#NAME?,,0.020781410858035,0.0343365874141454,0.0556522775441408,0.1016336064785718,0.5796829164028168,0.6414092779159546,0.1094604730606079,0.1316620856523513,3.0,1.25,2.75,0.9240421762030092,0.2258064516129032,2.30344603380924,0.5348072052001953,0.4545454545454545,1.5,1.0206207261596576,1.469693845669907,0.6493224343658325,2.27450492350074,1.9586988646091226,2.27450492350074,1.9586988646091226,0.2843131154375925,0.27981412351558893,3.3343450746743146
19,KrugerLowerSabie2022-B9,B9,0.967032967032967,0.967032967032967,0.967032967032967,0.967032967032967,B9,B,9.0,Sep 26 2022,Lower Sabie west,100,70.0,105.0,75.0,85.0,186.52,No trees,,29.0,0.0255255196243524,0.1516156382858753,0.2364761158823967,0.3155410587787628,0.4618240743875503,0.6020500063896179,0.2423248291015625,0.1052360162138938,1.0,0.0,0.25,0.530855427489926,0.064516129032258,0.8433842257894884,0.6135398149490356,0.0,0.25,0.0,0.0,0.9690512169317071,2.639432948488658,2.639432948488658,2.639432948488658,2.639432948488658,0.32992911856108226,0.377061849784094,5.22853847194012
20,KrugerLowerSabie2022-B10,B10,0.9442622950819672,0.8950819672131147,0.9442622950819672,0.8950819672131147,B10,B,10.0,Sep 26 2022,Lower Sabie west,75,15.0,10.0,30.0,0.0,58.18,No trees,,9.0,0.0200763382017612,0.038552202284336,0.0570302344858646,0.0779314488172531,0.1290536421537399,0.1989311575889587,0.0622099302709102,0.0300596896559,1.0,0.0,0.25,1.486132350064221,0.032258064516129,0.3357565340661484,0.7322278022766113,0.0,0.25,0.0,0.0,0.7001985826788283,4.610013454869153,4.50915174761537,4.610013454869153,4.50915174761537,0.5762516818586442,0.6441645353736243,4.063541653067055
